"","Year","State","State.Minimum.Wage","State.Minimum.Wage.2020.Dollars","Federal.Minimum.Wage","Federal.Minimum.Wage.2020.Dollars","Effective.Minimum.Wage","Effective.Minimum.Wage.2020.Dollars","CPI.Average","Department.Of.Labor.Uncleaned.Data","Department.Of.Labor.Cleaned.Low.Value","Department.Of.Labor.Cleaned.Low.Value.2020.Dollars","Department.Of.Labor.Cleaned.High.Value","Department.Of.Labor.Cleaned.High.Value.2020.Dollars","Average_Inflation","Inflation_Category"
"67",2001,"Hawaii",5.25,7.67,5.15,7.52,5.25,7.67,177.1,"5.25",5.25,7.67,5.25,7.67,2.65,"High Inflation"
"68",2001,"Idaho",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"69",2001,"Illinois",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15[c]",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"70",2001,"Indiana",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15(e)",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"71",2001,"Iowa",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"72",2001,"Kansas",2.65,3.87,5.15,7.52,5.15,7.52,177.1,"2.65",2.65,3.87,2.65,3.87,2.65,"High Inflation"
"73",2001,"Kentucky",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"74",2001,"Louisiana",0,0,5.15,7.52,5.15,7.52,177.1,"...",0,0,0,0,2.65,"High Inflation"
"75",2001,"Maine",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"76",2001,"Maryland",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"77",2001,"Massachusetts",6.75,9.86,5.15,7.52,6.75,9.86,177.1,"6.75",6.75,9.86,6.75,9.86,2.65,"High Inflation"
"78",2001,"Michigan",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15(e)",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"79",2001,"Minnesota",4.9,7.16,5.15,7.52,5.15,7.52,177.1,"4.90 - 5.15(g)",4.9,7.16,5.15,7.52,2.65,"High Inflation"
"80",2001,"Mississippi",0,0,5.15,7.52,5.15,7.52,177.1,"...",0,0,0,0,2.65,"High Inflation"
"81",2001,"Missouri",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"82",2001,"Montana",4,5.84,5.15,7.52,5.15,7.52,177.1,"4.00 - 5.15(g)",4,5.84,5.15,7.52,2.65,"High Inflation"
"83",2001,"Nebraska",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15[c]",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"84",2001,"Nevada",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"85",2001,"New Hampshire",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"86",2001,"New Jersey",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"87",2001,"New Mexico",4.25,6.21,5.15,7.52,5.15,7.52,177.1,"4.25",4.25,6.21,4.25,6.21,2.65,"High Inflation"
"88",2001,"New York",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"89",2001,"North Carolina",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"90",2001,"North Dakota",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"91",2001,"Ohio",2.8,4.09,5.15,7.52,5.15,7.52,177.1,"2.80 - 4.25(g)",2.8,4.09,4.25,6.21,2.65,"High Inflation"
"92",2001,"Oklahoma",2,2.92,5.15,7.52,5.15,7.52,177.1,"2.00 - 5.15(g)",2,2.92,5.15,7.52,2.65,"High Inflation"
"93",2001,"Oregon",6.5,9.49,5.15,7.52,6.5,9.49,177.1,"6.5",6.5,9.49,6.5,9.49,2.65,"High Inflation"
"94",2001,"Pennsylvania",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"95",2001,"Puerto Rico",3.61,5.27,5.15,7.52,5.15,7.52,177.1,"3.61 - 5.15(i)",3.61,5.27,5.15,7.52,2.65,"High Inflation"
"96",2001,"Rhode Island",6.15,8.98,5.15,7.52,6.15,8.98,177.1,"6.15",6.15,8.98,6.15,8.98,2.65,"High Inflation"
"97",2001,"South Carolina",0,0,5.15,7.52,5.15,7.52,177.1,"...",0,0,0,0,2.65,"High Inflation"
"98",2001,"South Dakota",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"99",2001,"Tennessee",0,0,5.15,7.52,5.15,7.52,177.1,"...",0,0,0,0,2.65,"High Inflation"
"100",2001,"Texas",3.35,4.89,5.15,7.52,5.15,7.52,177.1,"3.35",3.35,4.89,3.35,4.89,2.65,"High Inflation"
"101",2001,"U.S. Virgin Islands",4.3,6.28,5.15,7.52,5.15,7.52,177.1,"4.30 - 4.65(g,j)",4.3,6.28,4.65,6.79,2.65,"High Inflation"
"102",2001,"Utah",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"103",2001,"Vermont",6.25,9.13,5.15,7.52,6.25,9.13,177.1,"6.25(e)",6.25,9.13,6.25,9.13,2.65,"High Inflation"
"104",2001,"Virginia",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15[c]",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"105",2001,"Washington",6.72,9.81,5.15,7.52,6.72,9.81,177.1,"6.72",6.72,9.81,6.72,9.81,2.65,"High Inflation"
"106",2001,"West Virginia",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15(d)",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"107",2001,"Wisconsin",5.15,7.52,5.15,7.52,5.15,7.52,177.1,"5.15",5.15,7.52,5.15,7.52,2.65,"High Inflation"
"108",2001,"Wyoming",1.6,2.34,5.15,7.52,5.15,7.52,177.1,"1.6",1.6,2.34,1.6,2.34,2.65,"High Inflation"
"109",2002,"Alabama",0,0,5.15,7.4,5.15,7.4,179.9,"...",0,0,0,0,2.35,"High Inflation"
"110",2002,"Alaska",5.65,8.12,5.15,7.4,5.65,8.12,179.9,"5.65",5.65,8.12,5.65,8.12,2.35,"High Inflation"
"111",2002,"Arizona",0,0,5.15,7.4,5.15,7.4,179.9,"...",0,0,0,0,2.35,"High Inflation"
"112",2002,"Arkansas",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15[c]",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"113",2002,"California",6.75,9.71,5.15,7.4,6.75,9.71,179.9,"6.75",6.75,9.71,6.75,9.71,2.35,"High Inflation"
"114",2002,"Colorado",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"115",2002,"Connecticut",6.7,9.63,5.15,7.4,6.7,9.63,179.9,"6.7",6.7,9.63,6.7,9.63,2.35,"High Inflation"
"116",2002,"Delaware",6.15,8.84,5.15,7.4,6.15,8.84,179.9,"6.15",6.15,8.84,6.15,8.84,2.35,"High Inflation"
"117",2002,"District of Columbia",6.15,8.84,5.15,7.4,6.15,8.84,179.9,"6.15",6.15,8.84,6.15,8.84,2.35,"High Inflation"
"118",2002,"Florida",0,0,5.15,7.4,5.15,7.4,179.9,"...",0,0,0,0,2.35,"High Inflation"
"119",2002,"Georgia",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15(d)",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"120",2002,"Guam",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"121",2002,"Hawaii",5.75,8.27,5.15,7.4,5.75,8.27,179.9,"5.75",5.75,8.27,5.75,8.27,2.35,"High Inflation"
"122",2002,"Idaho",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"123",2002,"Illinois",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15[c]",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"124",2002,"Indiana",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15(e)",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"125",2002,"Iowa",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"126",2002,"Kansas",2.65,3.81,5.15,7.4,5.15,7.4,179.9,"2.65",2.65,3.81,2.65,3.81,2.35,"High Inflation"
"127",2002,"Kentucky",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"128",2002,"Louisiana",0,0,5.15,7.4,5.15,7.4,179.9,"...",0,0,0,0,2.35,"High Inflation"
"129",2002,"Maine",5.75,8.27,5.15,7.4,5.75,8.27,179.9,"5.75",5.75,8.27,5.75,8.27,2.35,"High Inflation"
"130",2002,"Maryland",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"131",2002,"Massachusetts",6.75,9.71,5.15,7.4,6.75,9.71,179.9,"6.75",6.75,9.71,6.75,9.71,2.35,"High Inflation"
"132",2002,"Michigan",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15(e)",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"133",2002,"Minnesota",4.9,7.05,5.15,7.4,5.15,7.4,179.9,"4.90 - 5.15(g)",4.9,7.05,5.15,7.4,2.35,"High Inflation"
"134",2002,"Mississippi",0,0,5.15,7.4,5.15,7.4,179.9,"...",0,0,0,0,2.35,"High Inflation"
"135",2002,"Missouri",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"136",2002,"Montana",4,5.75,5.15,7.4,5.15,7.4,179.9,"4.00 - 5.15(g)",4,5.75,5.15,7.4,2.35,"High Inflation"
"137",2002,"Nebraska",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15[c]",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"138",2002,"Nevada",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"139",2002,"New Hampshire",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"140",2002,"New Jersey",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"141",2002,"New Mexico",4.25,6.11,5.15,7.4,5.15,7.4,179.9,"4.25",4.25,6.11,4.25,6.11,2.35,"High Inflation"
"142",2002,"New York",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"143",2002,"North Carolina",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"144",2002,"North Dakota",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"145",2002,"Ohio",2.8,4.03,5.15,7.4,5.15,7.4,179.9,"2.80 - 4.25(g)",2.8,4.03,4.25,6.11,2.35,"High Inflation"
"146",2002,"Oklahoma",2,2.88,5.15,7.4,5.15,7.4,179.9,"2.00 - 5.15(g)",2,2.88,5.15,7.4,2.35,"High Inflation"
"147",2002,"Oregon",6.5,9.35,5.15,7.4,6.5,9.35,179.9,"6.5",6.5,9.35,6.5,9.35,2.35,"High Inflation"
"148",2002,"Pennsylvania",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"149",2002,"Puerto Rico",3.61,5.19,5.15,7.4,5.15,7.4,179.9,"3.61 - 5.15(i)",3.61,5.19,5.15,7.4,2.35,"High Inflation"
"150",2002,"Rhode Island",6.15,8.84,5.15,7.4,6.15,8.84,179.9,"6.15",6.15,8.84,6.15,8.84,2.35,"High Inflation"
"151",2002,"South Carolina",0,0,5.15,7.4,5.15,7.4,179.9,"...",0,0,0,0,2.35,"High Inflation"
"152",2002,"South Dakota",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"153",2002,"Tennessee",0,0,5.15,7.4,5.15,7.4,179.9,"...",0,0,0,0,2.35,"High Inflation"
"154",2002,"Texas",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"155",2002,"U.S. Virgin Islands",4.3,6.18,5.15,7.4,5.15,7.4,179.9,"4.30 - 4.65(g,j)",4.3,6.18,4.65,6.69,2.35,"High Inflation"
"156",2002,"Utah",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"157",2002,"Vermont",6.25,8.99,5.15,7.4,6.25,8.99,179.9,"6.25(e)",6.25,8.99,6.25,8.99,2.35,"High Inflation"
"158",2002,"Virginia",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15[c]",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"159",2002,"Washington",6.9,9.92,5.15,7.4,6.9,9.92,179.9,"6.9",6.9,9.92,6.9,9.92,2.35,"High Inflation"
"160",2002,"West Virginia",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15(d)",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"161",2002,"Wisconsin",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"162",2002,"Wyoming",5.15,7.4,5.15,7.4,5.15,7.4,179.9,"5.15",5.15,7.4,5.15,7.4,2.35,"High Inflation"
"163",2003,"Alabama",0,0,5.15,7.24,5.15,7.24,184,"...",0,0,0,0,1.5,"Low Inflation"
"164",2003,"Alaska",7.15,10.05,5.15,7.24,7.15,10.05,184,"7.15",7.15,10.05,7.15,10.05,1.5,"Low Inflation"
"165",2003,"Arizona",0,0,5.15,7.24,5.15,7.24,184,"...",0,0,0,0,1.5,"Low Inflation"
"166",2003,"Arkansas",5.15,7.24,5.15,7.24,5.15,7.24,184,"5.15[c]",5.15,7.24,5.15,7.24,1.5,"Low Inflation"
"167",2003,"California",6.75,9.49,5.15,7.24,6.75,9.49,184,"6.75",6.75,9.49,6.75,9.49,1.5,"Low Inflation"
"168",2003,"Colorado",5.15,7.24,5.15,7.24,5.15,7.24,184,"5.15",5.15,7.24,5.15,7.24,1.5,"Low Inflation"
"169",2003,"Connecticut",6.9,9.7,5.15,7.24,6.9,9.7,184,"6.9",6.9,9.7,6.9,9.7,1.5,"Low Inflation"
"170",2003,"Delaware",6.15,8.65,5.15,7.24,6.15,8.65,184,"6.15",6.15,8.65,6.15,8.65,1.5,"Low Inflation"
"171",2003,"District of Columbia",6.15,8.65,5.15,7.24,6.15,8.65,184,"6.15",6.15,8.65,6.15,8.65,1.5,"Low Inflation"
"172",2003,"Florida",0,0,5.15,7.24,5.15,7.24,184,"...",0,0,0,0,1.5,"Low Inflation"
"173",2003,"Georgia",5.15,7.24,5.15,7.24,5.15,7.24,184,"5.15(d)",5.15,7.24,5.15,7.24,1.5,"Low Inflation"
"174",2003,"Guam",5.15,7.24,5.15,7.24,5.15,7.24,184,"5.15",5.15,7.24,5.15,7.24,1.5,"Low Inflation"
"175",2003,"Hawaii",6.25,8.79,5.15,7.24,6.25,8.79,184,"6.25",6.25,8.79,6.25,8.79,1.5,"Low Inflation"
"176",2003,"Idaho",5.15,7.24,5.15,7.24,5.15,7.24,184,"5.15",5.15,7.24,5.15,7.24,1.5,"Low Inflation"
"177",2003,"Illinois",5.15,7.24,5.15,7.24,5.15,7.24,184,"5.15[c]",5.15,7.24,5.15,7.24,1.5,"Low Inflation"
"178",2003,"Indiana",5.15,7.24,5.15,7.24,5.15,7.24,184,"5.15(e)",5.15,7.24,5.15,7.24,1.5,"Low Inflation"
"179",2003,"Iowa",5.15,7.24,5.15,7.24,5.15,7.24,184,"5.15",5.15,7.24,5.15,7.24,1.5,"Low Inflation"
"180",2003,"Kansas",2.65,3.73,5.15,7.24,5.15,7.24,184,"2.65",2.65,3.73,2.65,3.73,1.5,"Low Inflation"
"181",2003,"Kentucky",5.15,7.24,5.15,7.24,5.15,7.24,184,"5.15",5.15,7.24,5.15,7.24,1.5,"Low Inflation"
"182",2003,"Louisiana",0,0,5.15,7.24,5.15,7.24,184,"...",0,0,0,0,1.5,"Low Inflation"
"183",2003,"Maine",6.25,8.79,5.15,7.24,6.25,8.79,184,"6.25",6.25,8.79,6.25,8.79,1.5,"Low Inflation"
"184",2003,"Maryland",5.15,7.24,5.15,7.24,5.15,7.24,184,"5.15",5.15,7.24,5.15,7.24,1.5,"Low Inflation"
"185",2003,"Massachusetts",6.75,9.49,5.15,7.24,6.75,9.49,184,"6.75",6.75,9.49,6.75,9.49,1.5,"Low Inflation"
